Time Stamp,ID,Extended,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
000000092,00000201,false,0,8,00,00,00,00,FF,FF,FF,FF
000000093,00000206,false,0,8,98,21,5F,FF,FF,FF,FF,FF
000000094,000001AE,false,0,2,F7,FF,00,00,00,00,00,00
000000095,00000212,false,0,8,31,F1,F8,FF,FF,FF,FF,FF
000000096,000000A5,false,0,8,B4,F1,FF,F7,7F,00,00,C1
000000097,000000AC,false,0,2,00,F0,00,00,00,00,00,00
000000098,000000D9,false,0,8,10,F1,00,10,00,F0,7F,C8
000000099,000000EF,false,0,8,25,F1,00,7D,21,00,7D,FF
000000100,000000F3,false,0,8,D6,01,00,FF,F0,C0,FF,FF
000000101,00000197,false,0,4,8A,02,0E,C0,00,00,00,00
000000102,000001A1,false,0,5,09,C6,00,00,88,00,00,00
000000103,000002DB,false,0,8,FF,FF,FF,FF,3F,FF,FF,FF
000000104,000002F1,false,0,8,00,00,00,00,00,00,00,00
000000105,000002FA,false,0,8,00,00,00,FF,FF,FF,FF,FF
000000106,0000032B,false,0,8,00,00,00,00,00,00,00,FF
000000107,00000331,false,0,8,FF,FF,FF,0F,00,FE,F7,FF
000000108,0000038C,false,0,2,FC,FF,00,00,00,00,00,00
000000109,000003AD,false,0,8,00,F0,FF,FF,FF,FF,FF,F0
000000110,000003E5,false,0,3,FC,FF,FF,00,00,00,00,00
000000111,000003E8,false,0,2,F0,FF,00,00,00,00,00,00
000000112,000003E9,false,0,8,00,00,00,00,00,00,00,00
000000113,00000100,false,0,8,31,F2,7F,C0,5D,00,00,00
000000114,00000112,false,0,8,FF,FF,FF,FF,FF,7F,F5,FF
000000115,00000512,false,0,8,00,00,00,00,00,00,00,12
000000116,00000592,false,0,8,41,00,00,00,00,00,00,00
000000117,0000003C,false,0,8,FF,5F,00,00,00,00,FF,FF
000000118,000002A1,false,0,5,80,58,02,00,FA,00,00,00
000000119,0000036F,false,0,5,7F,F1,38,00,14,00,00,00
000000120,0000012F,false,0,8,47,2D,86,1C,F2,B1,30,C0
000000121,00000254,false,0,8,FF,7F,FF,7F,FF,7F,FF,7F
000000122,0000015F,false,0,8,F8,F2,00,7D,00,EE,00,7D
000000123,00000258,false,0,2,44,44,00,00,00,00,00,00
000000124,000001D0,false,0,8,31,F1,DF,FF,FF,FF,FF,FF
000000125,000001B9,false,0,5,FF,FF,FF,00,FF,00,00,00
000000126,00000199,false,0,6,FF,FF,F3,7E,FF,8F,00,00
000000127,00000100,false,0,8,6C,F3,7F,C0,5D,00,00,00
000000128,00000112,false,0,8,FF,FF,FF,FF,FF,7F,F5,FF
000000129,0000019A,false,0,6,FF,FF,F3,7E,FF,8F,00,00
000000130,0000019F,false,0,6,FF,FF,00,80,FF,8F,00,00
000000131,000003CB,false,0,4,DE,AD,C8,AB,00,00,00,00
000000132,000002C5,false,0,7,25,F1,00,70,06,20,CA,00
000000133,000003A5,false,0,5,E1,D5,FF,FF,FF,00,00,00
000000134,000000A5,false,0,8,53,F2,FF,F7,7F,00,00,C1
000000135,000000D9,false,0,8,F7,F2,00,10,00,F0,7F,C8
000000136,000000AC,false,0,2,00,F0,00,00,00,00,00,00
000000137,000000EF,false,0,8,C2,F2,00,7D,21,00,7D,FF
000000138,000000F3,false,0,8,31,02,00,FF,F0,C0,FF,FF
000000139,000001A1,false,0,5,FC,C8,00,00,88,00,00,00
000000140,00000349,false,0,5,FE,FF,F4,1A,00,00,00,00
000000141,00000369,false,0,5,FF,F0,FF,FF,FF,00,00,00
000000142,000003B3,false,0,7,1F,00,FF,0F,00,F3,08,00
000000143,00000100,false,0,8,E2,F4,7F,C0,5D,00,00,00
000000144,00000112,false,0,8,FF,FF,FF,FF,FF,7F,F5,FF
000000145,000002B0,false,0,6,3C,44,00,C3,FF,FF,00,00
000000146,0000012F,false,0,8,C9,2E,86,1C,F4,B1,30,C0
000000147,000001E1,false,0,6,EF,F8,45,FF,FF,FF,00,00
000000148,00000254,false,0,8,FF,7F,FF,7F,FF,7F,FF,7F
000000149,0000015F,false,0,8,A5,F3,00,7D,00,EE,00,7D
000000150,00000197,false,0,4,05,03,0E,C0,00,00,00,00
000000151,00000258,false,0,2,44,44,00,00,00,00,00,00
000000152,00000302,false,0,7,FF,FF,FF,7F,F8,FF,FF,00
000000153,000003F9,false,0,8,D8,F2,80,C0,A6,3C,C0,FF
000000154,00000100,false,0,8,BF,F5,7F,C0,5D,00,00,00
000000155,00000112,false,0,8,FF,FF,FF,FF,FF,7F,F5,FF
000000156,00000199,false,0,6,FF,FF,F3,7E,FF,8F,00,00
000000157,0000019A,false,0,6,FF,FF,F3,7E,FF,8F,00,00
000000158,0000019F,false,0,6,FF,FF,00,80,FF,8F,00,00
