Time Stamp,ID,Extended,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
000000089,0000019A,false,0,6,FF,FF,8B,7E,FF,3F,00,00
000000090,0000019F,false,0,6,FF,FF,F9,7F,FF,2F,00,00
000000091,00000254,false,0,8,FF,7F,FF,7F,FF,7F,FF,7F
000000092,00000258,false,0,2,44,44,00,00,00,00,00,00
000000093,000000EF,false,0,8,DD,FA,00,7D,21,FE,7C,FF
000000094,000001A1,false,0,5,E1,CA,00,00,8A,00,00,00
000000095,00000112,false,0,8,FA,1F,C6,0E,3A,72,85,5F
000000096,000000A9,false,0,8,C0,78,00,90,F1,00,00,FF
000000097,00000197,false,0,4,8A,02,0E,C0,00,00,00,00
000000098,00000302,false,0,7,FF,FF,FF,7F,FC,FF,FF,00
000000099,00000100,false,0,8,83,F5,7F,C0,5D,66,87,70
000000100,000001AE,false,0,2,F7,FF,00,00,00,00,00,00
000000101,0000015F,false,0,8,77,FB,00,7D,00,EE,00,7D
000000102,00000112,false,0,8,FA,1F,C7,0E,3A,72,85,5F
000000103,000002A1,false,0,5,80,58,02,00,F0,00,00,00
000000104,000000A5,false,0,8,52,FC,FF,F7,7F,00,00,C1
000000105,000000AC,false,0,2,00,F0,00,00,00,00,00,00
000000106,000000D9,false,0,8,F6,FC,00,10,00,F0,7F,C8
000000107,000000F3,false,0,8,30,0C,00,FF,F0,C0,FF,FF
000000108,00000100,false,0,8,64,F6,7F,C0,5D,66,87,70
000000109,00000199,false,0,6,FF,FF,B9,7E,FF,3F,00,00
000000110,0000019A,false,0,6,FF,FF,8B,7E,FF,3F,00,00
000000111,0000019F,false,0,6,FF,FF,12,80,FF,2F,00,00
000000112,00000254,false,0,8,FF,7F,FF,7F,FF,7F,FF,7F
000000113,00000258,false,0,2,44,44,00,00,00,00,00,00
000000114,000002BB,false,0,5,21,FC,00,00,F2,00,00,00
000000115,000002E8,false,0,8,C0,18,C5,FF,FF,F4,F9,51
000000116,000007BD,false,0,8,01,2D,55,7F,49,57,57,00
000000117,000007BE,false,0,8,07,04,00,62,06,67,00,00
