Time Stamp,ID,Extended,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
000000089,00000100,false,0,8,51,FD,7F,C0,5D,66,87,70
000000090,0000036E,false,0,5,87,F4,FE,FF,14,00,00,00
000000091,000002C5,false,0,7,5E,F2,00,20,06,20,CA,00
000000092,00000199,false,0,6,FF,FF,AF,7E,FF,3F,00,00
000000093,0000019A,false,0,6,FF,FF,8B,7E,FF,3F,00,00
000000094,0000019F,false,0,6,FF,FF,09,80,FF,2F,00,00
000000095,00000254,false,0,8,FF,7F,FF,7F,FF,7F,FF,7F
000000096,00000258,false,0,2,44,44,00,00,00,00,00,00
000000097,0000015F,false,0,8,42,F0,00,7D,00,EE,00,7D
000000098,00000197,false,0,4,06,01,0E,C0,00,00,00,00
000000099,00000112,false,0,8,FA,1F,C7,0E,3A,72,85,5F
000000100,00000100,false,0,8,0D,F2,7F,C0,5D,66,87,70
000000101,0000036E,false,0,5,55,F8,FE,FF,14,00,00,00
000000102,00000199,false,0,6,FF,FF,B9,7E,FF,3F,00,00
000000103,0000019A,false,0,6,FF,FF,8B,7E,FF,3F,00,00
000000104,0000019F,false,0,6,FF,FF,FD,7F,FF,2F,00,00
000000105,00000254,false,0,8,FF,7F,FF,7F,FF,7F,FF,7F
000000106,00000258,false,0,2,44,44,00,00,00,00,00,00
000000107,00000201,false,0,8,E3,5B,E3,5B,FF,FF,FF,FF
000000108,0000015F,false,0,8,F8,F2,00,7D,00,EE,00,7D
000000109,000002B0,false,0,6,42,4D,05,C8,FF,FF,00,00
000000110,00000301,false,0,7,FF,FF,FF,7F,FF,FF,CF,00
000000111,000000A5,false,0,8,0E,F3,FF,F7,7F,00,00,C1
000000112,000000AC,false,0,2,00,F0,00,00,00,00,00,00
000000113,000000D9,false,0,8,AA,F3,00,10,00,F0,7F,C8
000000114,000000F3,false,0,8,6C,03,00,FF,F0,C0,FF,FF
000000115,00000112,false,0,8,FA,1F,C7,0E,3A,72,85,5F
000000116,00000100,false,0,8,50,F3,7F,C0,5D,66,87,70
000000117,000000EF,false,0,8,0F,F2,00,7D,21,FE,7C,FF
000000118,000001A1,false,0,5,5B,C9,00,00,8A,00,00,00
000000119,00000163,false,0,8,FF,FF,0D,25,FF,FF,FF,FF
000000120,00000173,false,0,8,52,F4,00,0E,30,00,DE,10
000000121,00000112,false,0,8,FA,1F,C7,0E,3A,72,85,5F
000000122,00000272,false,0,8,89,F1,01,11,FF,FF,FF,FF
000000123,00000100,false,0,8,DE,F4,7F,C0,5D,66,87,70
000000124,00000302,false,0,7,FF,FF,FF,7F,FC,FF,FF,00
000000125,00000199,false,0,6,FF,FF,AF,7E,FF,3F,00,00
000000126,0000019A,false,0,6,FF,FF,81,7E,FF,3F,00,00
000000127,0000019F,false,0,6,FF,FF,02,80,FF,2F,00,00
000000128,00000254,false,0,8,FF,7F,FF,7F,FF,7F,FF,7F
000000129,00000258,false,0,2,44,44,00,00,00,00,00,00
